iteration,image,frozen,U,field_term,pv,H,px,py,pz,Px,Py,Pz
2,8,0,-3.1364560295183031e+05,-1.0450682117474108e+00,0.0000000000000000e+00,-3.1364664802004205e+05,-3.1447067692460948e+01,1.1096135572649262e+01,-5.8492096839235597e-01,-6.9450171094569786e-03,2.4505576212874758e-03,-1.2917853495570718e-04
2,9,0,-3.1364556000291917e+05,-1.0582486251205712e+00,0.0000000000000000e+00,-3.1364661825154431e+05,-3.1843678503986204e+01,9.6508184506839854e+00,-7.7654012039695530e-01,-7.0359584111080722e-03,2.1323779300078936e-03,-1.7157892078912567e-04
2,10,0,-3.1364548386614799e+05,-1.0835932850832248e+00,0.0000000000000000e+00,-3.1364656745943305e+05,-3.2606322730007889e+01,7.7999973286366266e+00,-9.3758941654348815e-01,-7.2084885289878352e-03,1.7243953491838384e-03,-2.0727889526267032e-04
2,11,0,-3.1364534925052105e+05,-1.1459334902226359e+00,0.0000000000000000e+00,-3.1364649518401129e+05,-3.4482197078633462e+01,5.1395794839366786e+00,-9.2553678909531234e-01,-7.6268511068178103e-03,1.1367839290011396e-03,-2.0471234092813012e-04
2,12,0,-3.1364523091661342e+05,-1.2183790327267709e+00,0.0000000000000000e+00,-3.1364644929564616e+05,-3.6662150361620910e+01,2.4824753627682661e+00,-8.7794351906701384e-01,-8.1123523915047017e-03,5.4930533935855779e-04,-1.9426539731736718e-04
2,13,0,-3.1364515306350583e+05,-1.3017521079554322e+00,0.0000000000000000e+00,-3.1364645481561380e+05,-3.9170923196707427e+01,-5.5139114293799363e-02,-7.8287011621916669e-01,-8.6700708072549176e-03,-1.2204461528155820e-05,-1.7328004516050310e-04
2,14,0,-3.1364511451551807e+05,-1.4022857870204650e+00,0.0000000000000000e+00,-3.1364651680130512e+05,-4.2196074450369665e+01,-2.5199159160933515e+00,-6.0737180631462728e-01,-9.3414529682555123e-03,-5.5786412174031806e-04,-1.3446120846160328e-04
2,15,0,-3.1364511768189020e+05,-1.5092958231905076e+00,0.0000000000000000e+00,-3.1364662697771337e+05,-4.5416105270736217e+01,-4.9620898230790456e+00,-3.9453406090405785e-01,-1.0055678556553203e-02,-1.0986670902794916e-03,-8.7354643741745894e-05
2,16,0,-3.1364513077623985e+05,-1.6244506837567676e+00,0.0000000000000000e+00,-3.1364675522692362e+05,-4.8881221379557573e+01,-7.4117093416011457e+00,-8.5910849489702734e-02,-1.0822438257436459e-02,-1.6409730458390082e-03,-1.9020900828698559e-05
2,17,0,-3.1364514775355347e+05,-1.7374499943868966e+00,0.0000000000000000e+00,-3.1364688520354783e+05,-5.2281474999984368e+01,-1.0019344882697370e+01,2.7342525941349338e-01,-1.1573509761523749e-02,-2.2179746421462994e-03,6.0527938602921499e-05
2,18,0,-3.1364515849686618e+05,-1.8366974479609617e+00,0.0000000000000000e+00,-3.1364699519431416e+05,-5.5267922540695082e+01,-1.2578551791888307e+01,6.6313409987223437e-01,-1.2231230752015796e-02,-2.7837335369261147e-03,1.4675684958296209e-04
2,19,0,-3.1364517632722505e+05,-1.9106150712255989e+00,0.0000000000000000e+00,-3.1364708694229630e+05,-5.7492172093345999e+01,-1.5369866640286682e+01,1.0561917373050989e+00,-1.2718426085102298e-02,-3.4001239766168127e-03,2.3365087895444806e-04
2,20,0,-3.1364518984304951e+05,-1.9742258078543420e+00,0.0000000000000000e+00,-3.1364716406885738e+05,-5.9406277907919247e+01,-1.8246861807585422e+01,1.3883638297147072e+00,-1.3136075979153169e-02,-4.0347951685691741e-03,3.0699874484829942e-04
2,21,0,-3.1364520591408998e+05,-2.0082843634394352e+00,0.0000000000000000e+00,-3.1364721419845341e+05,-6.0431131301173863e+01,-2.0844646206827711e+01,1.2519564364958522e+00,-1.3356829860087613e-02,-4.6072014023823210e-03,2.7671448067350437e-04
2,22,0,-3.1364521455515723e+05,-2.0347901869677005e+00,0.0000000000000000e+00,-3.1364724934534420e+05,-6.1228716011308791e+01,-2.3152412651921445e+01,8.9854712818729610e-01,-1.3528031384840367e-02,-5.1153541245601173e-03,1.9852733394949549e-04
2,23,0,-3.1364521936844167e+05,-2.0489804742221578e+00,0.0000000000000000e+00,-3.1364726834891591e+05,-6.1655714860618588e+01,-2.4855706264804429e+01,3.1629630532963848e-01,-1.3618853486886313e-02,-5.4902651392282880e-03,6.9865267971764241e-05
2,24,0,-3.1364521501415619e+05,-2.0622055950936158e+00,0.0000000000000000e+00,-3.1364727721975127e+05,-6.2053670962058440e+01,-2.6257918311985406e+01,-3.1094690953266202e-01,-1.3705915731953471e-02,-5.7996377990375009e-03,-6.8679452369092405e-05
2,25,0,-3.1364518854500877e+05,-2.0865788359069164e+00,0.0000000000000000e+00,-3.1364727512384468e+05,-6.2787084288695695e+01,-2.8044594506575848e+01,-9.0535394409961256e-01,-1.3869056342066366e-02,-6.1947782049202905e-03,-1.9998388207509435e-04
