iteration,image,frozen,update_rate,U,field_term,pv,H,px,py,pz,Px,Py,Pz,k_left,k_right
1,24,0,1.0000000000000000e+00,-3.1364585551722243e+05,-1.1103484936803256e+00,0.0000000000000000e+00,-3.1364696586571611e+05,-6.6823069932058104e+01,-6.6004752137760192e+01,5.3898889877848575e+01,-1.4748968234280610e-02,-1.4568351821926047e-02,1.1896385716484447e-02,1.3500000000000000e+02,1.3500000000000000e+02
1,25,0,1.0000000000000000e+00,-3.1364604081531218e+05,-1.1573905895168153e+00,0.0000000000000000e+00,-3.1364719820590172e+05,-6.9654160414650704e+01,-6.8751270331383537e+01,5.6144630326141936e+01,-1.5373916150551130e-02,-1.5174632197508264e-02,1.2392121788553537e-02,1.3500000000000000e+02,1.3500000000000000e+02
1,26,0,1.0000000000000000e+00,-3.1364611001634866e+05,-1.2044543971229487e+00,0.0000000000000000e+00,-3.1364731447074580e+05,-7.2486557554429396e+01,-7.1498533679738131e+01,5.8390367050551390e+01,-1.5999158888265492e-02,-1.5781083268593312e-02,1.2887862129256657e-02,1.3500000000000000e+02,0.0000000000000000e+00
2,0,0,1.0000000000000000e+00,-3.1364615200129757e+05,1.2148275501564474e-02,0.0000000000000000e+00,-3.1364613985302206e+05,7.3110449429291691e-01,-3.1186191009052600e-01,1.9536559894284267e-06,1.6134709725785934e-04,-6.8824654110576403e-05,4.3115139545075239e-10,0.0000000000000000e+00,1.3500000000000000e+02
2,1,0,1.0000000000000000e+00,-3.1364607691787777e+05,-3.5679872210352473e-02,0.0000000000000000e+00,-3.1364611259774998e+05,-2.1472919508492732e+00,-3.0339498133030380e+00,2.2546504717649896e+00,-4.7389005018917907e-04,-6.6956830380190296e-04,4.9758321163602512e-04,1.3500000000000000e+02,1.3500000000000000e+02
2,2,0,1.0000000000000000e+00,-3.1364587741880363e+05,-8.2231480753114927e-02,0.0000000000000000e+00,-3.1364595965028438e+05,-4.9488639390499110e+00,-5.7635919940245071e+00,4.5125680130668879e+00,-1.0921855800182139e-03,-1.2719913383172330e-03,9.9589759860508296e-04,1.3500000000000000e+02,1.3500000000000000e+02
2,3,0,1.0000000000000000e+00,-3.1364558846643590e+05,-1.2880648779837894e-01,0.0000000000000000e+00,-3.1364571727292368e+05,-7.7518440956101768e+00,-8.4941063352781541e+00,6.7684282966372429e+00,-1.7108032110935702e-03,-1.8746177315399500e-03,1.4937669954560816e-03,1.3500000000000000e+02,1.3500000000000000e+02
2,4,0,1.0000000000000000e+00,-3.1364524109942734e+05,-1.7540490602697836e-01,0.0000000000000000e+00,-3.1364541650433338e+05,-1.0556233183653706e+01,-1.1225484172007045e+01,9.0223825843120071e+00,-2.3297419270403952e-03,-2.4774444322952414e-03,1.9912238222455983e-03,1.3500000000000000e+02,1.3500000000000000e+02
2,5,0,1.0000000000000000e+00,-3.1364486265191215e+05,-2.2202667685337682e-01,0.0000000000000000e+00,-3.1364508467858902e+05,-1.3362027677357428e+01,-1.3957715528421184e+01,1.1274570530328885e+01,-2.9489999474255776e-03,-3.0804682757277148e-03,2.4882980864893221e-03,1.3500000000000000e+02,1.3500000000000000e+02
2,6,0,1.0000000000000000e+00,-3.1364447697573929e+05,-2.6867169896100263e-01,0.0000000000000000e+00,-3.1364474564743828e+05,-1.6169221479265424e+01,-1.6690790370095662e+01,1.3525121223092032e+01,-3.5685750682127731e-03,-3.6836862219908912e-03,2.9850175812839688e-03,1.3500000000000000e+02,1.3500000000000000e+02
2,7,0,1.0000000000000000e+00,-3.1364410463370261e+05,-3.1533971689423929e-01,0.0000000000000000e+00,-3.1364441997341951e+05,-1.8977799215523273e+01,-1.9424691685132967e+01,1.5774156165428474e+01,-4.1884631608024173e-03,-4.2870938094115114e-03,3.4814085258947536e-03,1.3500000000000000e+02,1.3500000000000000e+02
2,8,0,1.0000000000000000e+00,-3.1364376305700518e+05,-3.6203035722559757e-01,0.0000000000000000e+00,-3.1364412508736242e+05,-2.1787738412491862e+01,-2.2159397249889345e+01,1.8021792385927714e+01,-4.8086586265916687e-03,-4.8906855190008307e-03,3.9774962312540442e-03,1.3500000000000000e+02,1.3500000000000000e+02
2,9,0,1.0000000000000000e+00,-3.1364346667793475e+05,-4.0874316791734977e-01,0.0000000000000000e+00,-3.1364387542110268e+05,-2.4599011865611175e+01,-2.4894881747521371e+01,2.0268145388696873e+01,-5.4291548962404857e-03,-5.4944552191477014e-03,4.4733057317879249e-03,1.3500000000000000e+02,1.3500000000000000e+02
2,10,0,1.0000000000000000e+00,-3.1364322703032329e+05,-4.5547761956993965e-01,0.0000000000000000e+00,-3.1364368250794284e+05,-2.7411587714530846e+01,-2.7631116489640366e+01,2.2513330133436753e+01,-6.0499444297902327e-03,-6.0983960884093526e-03,4.9688619884142105e-03,1.3500000000000000e+02,1.3500000000000000e+02
2,11,0,1.0000000000000000e+00,-3.1364305281792342e+05,-5.0223312934544595e-01,0.0000000000000000e+00,-3.1364355505105277e+05,-3.0225430882872867e+01,-3.0368070610259032e+01,2.4757463007019410e+01,-6.6710190185379709e-03,-6.7025008636729354e-03,5.4641903108207683e-03,1.3500000000000000e+02,1.3500000000000000e+02
2,12,0,1.0000000000000000e+00,-3.1364294996816845e+05,-5.4900909449723856e-01,0.0000000000000000e+00,-3.1364349897726293e+05,-3.3040505096115183e+01,-3.3105712927575155e+01,2.7000664028043559e+01,-7.2923702108048565e-03,-7.3067622319397205e-03,5.9593168281560551e-03,1.3500000000000000e+02,1.3500000000000000e+02
2,13,0,1.0000000000000000e+00,-3.1364292167817609e+05,-5.9580493914525867e-01,0.0000000000000000e+00,-3.1364351748311525e+05,-3.5856775696619977e+01,-3.5844013430129607e+01,2.9243056558559591e+01,-7.9139899150023132e-03,-7.9111731405898025e-03,6.4542684107009220e-03,1.3500000000000000e+02,1.3500000000000000e+02
2,14,0,1.0000000000000000e+00,-3.1364296846249927e+05,-6.4262001008854708e-01,0.0000000000000000e+00,-3.1364361108250933e+05,-3.8674203373426110e+01,-3.8582939768315107e+01,3.1484766978484398e+01,-8.5358689955233255e-03,-8.5157260033131236e-03,6.9490725817402477e-03,1.3500000000000000e+02,1.3500000000000000e+02
2,15,0,1.0000000000000000e+00,-3.1364308820333326e+05,-6.8945374407691695e-01,0.0000000000000000e+00,-3.1364377765707736e+05,-4.1492754228995352e+01,-4.1322464751876872e+01,3.3725928509410153e+01,-9.1579994681080506e-03,-9.1204143289710191e-03,7.4437583402162770e-03,1.3500000000000000e+02,1.3500000000000000e+02
2,16,0,1.0000000000000000e+00,-3.1364327620218799e+05,-7.3630560355130026e-01,0.0000000000000000e+00,-3.1364401250779151e+05,-4.4312395911933692e+01,-4.4062562599990407e+01,3.5966677504435772e+01,-9.7803736248295511e-03,-9.7252318730815749e-03,7.9383553246869260e-03,1.3500000000000000e+02,1.3500000000000000e+02
2,17,0,1.0000000000000000e+00,-3.1364352523519332e+05,-7.8317509366509974e-01,0.0000000000000000e+00,-3.1364430841028696e+05,-4.7133098641372229e+01,-4.6803210121829672e+01,3.8207153898041611e+01,-1.0402984250132433e-02,-1.0330172888859266e-02,8.4328939047267574e-03,1.3500000000000000e+02,1.3500000000000000e+02
2,18,0,1.0000000000000000e+00,-3.1364382560513186e+05,-8.3006178403262565e-01,0.0000000000000000e+00,-3.1364465566691587e+05,-4.9954836515831687e+01,-4.9544387652246762e+01,4.0447500754207354e+01,-1.1025824890277166e-02,-1.0935232314824208e-02,8.9274050656518115e-03,1.3500000000000000e+02,1.3500000000000000e+02
2,19,0,1.0000000000000000e+00,-3.1364416518387449e+05,-8.7696532342394673e-01,0.0000000000000000e+00,-3.1364504214919789e+05,-5.2777588397588062e+01,-5.2286079675290352e+01,4.2687864793213933e+01,-1.1648890030009426e-02,-1.1540405894438386e-02,9.4219205100092296e-03,1.3500000000000000e+02,1.3500000000000000e+02
2,20,0,1.0000000000000000e+00,-3.1364452943782578e+05,-9.2388544512022641e-01,0.0000000000000000e+00,-3.1364545332327089e+05,-5.5601338234968900e+01,-5.5028275433272889e+01,4.4928397913900085e+01,-1.2272175144668869e-02,-1.2145690292063558e-02,9.9164729783785873e-03,1.3500000000000000e+02,1.3500000000000000e+02
2,21,0,1.0000000000000000e+00,-3.1364490143072145e+05,-9.7082198449479495e-01,0.0000000000000000e+00,-3.1364587225270597e+05,-5.8426076120416354e+01,-5.7770969366048398e+01,4.7169258231363763e+01,-1.2895676912606202e-02,-1.2751083169391549e-02,1.0411096461540417e-02,1.3500000000000000e+02,1.3500000000000000e+02
2,22,0,1.0000000000000000e+00,-3.1364526179638854e+05,-1.0177748791715560e+00,0.0000000000000000e+00,-3.1364627957126772e+05,-6.1251798300020518e+01,-6.0514161146831043e+01,4.9410612765827096e+01,-1.3519393189051945e-02,-1.3356583165810258e-02,1.0905826771342029e-02,1.3500000000000000e+02,1.3500000000000000e+02
2,23,0,1.0000000000000000e+00,-3.1364558867571177e+05,-1.0647441595317184e+00,0.0000000000000000e+00,-3.1364665341987129e+05,-6.4078506602194096e+01,-6.3257854913466609e+01,5.1652640916368696e+01,-1.4143322846032565e-02,-1.3962189695569640e-02,1.1400702280183595e-02,1.3500000000000000e+02,1.3500000000000000e+02
2,24,0,1.0000000000000000e+00,-3.1364585761493322e+05,-1.1117299247125358e+00,0.0000000000000000e+00,-3.1364696934485791e+05,-6.6906206993226903e+01,-6.6002057822635180e+01,5.3895538667450616e+01,-1.4767465415354777e-02,-1.4567902591409511e-02,1.1895764818861489e-02,1.3500000000000000e+02,1.3500000000000000e+02
2,25,0,1.0000000000000000e+00,-3.1364604142480186e+05,-1.1587323095765896e+00,0.0000000000000000e+00,-3.1364720015711145e+05,-6.9734907589429071e+01,-6.8746778148902010e+01,5.6139523094689594e+01,-1.5391820605557971e-02,-1.5173721641790670e-02,1.2391060635549274e-02,1.3500000000000000e+02,1.3500000000000000e+02
2,26,0,1.0000000000000000e+00,-3.1364611001634866e+05,-1.2044543971229487e+00,0.0000000000000000e+00,-3.1364731447074580e+05,-7.2486557554429396e+01,-7.1498533679738131e+01,5.8390367050551390e+01,-1.5999158888265492e-02,-1.5781083268593312e-02,1.2887862129256657e-02,1.3500000000000000e+02,0.0000000000000000e+00
